title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Dead or Alive 6,dead or alive 6,PC,PC,2019,Fighting,Team Ninja,DOA6,Dead or Alive,doa6|dead.or.alive.6
Super Smash Bros Ultimate,super smash bros ultimate,Switch,Switch,2018,Fighting,Bandai Namco,SSBU,Super Smash Bros,ssbu|super.smash.bros.ultimate
Super Smash Bros Melee,super smash bros melee,GC,GC,2001,Fighting,HAL Laboratory,SSBM,Super Smash Bros,ssbm|super.smash.bros.melee
Super Smash Bros Brawl,super smash bros brawl,Wii,Wii,2008,Fighting,Sora,SSBB,Super Smash Bros,ssbb|super.smash.bros.brawl
Mario Kart 8 Deluxe,mario kart 8 deluxe,Switch,Switch,2017,Racing,Nintendo EPD,MK8D,Mario Kart,mario.kart.8.deluxe|mk8d
Mario Kart Wii,mario kart wii,Wii,Wii,2008,Racing,Nintendo,,Mario Kart,mario.kart.wii|mkwii
Super Mario Odyssey,super mario odyssey,Switch,Switch,2017,Platformer,Nintendo EPD,Mario Odyssey,Super Mario,super.mario.odyssey
Super Mario Galaxy,super mario galaxy,Wii,Wii,2007,Platformer,Nintendo EAD,Mario Galaxy,Super Mario,super.mario.galaxy|mario.galaxy
Super Mario 64,super mario 64,N64,N64,1996,Platformer,Nintendo,Mario 64,Super Mario,super.mario.64|mario.64|sm64
Super Mario World,super mario world,SNES,SNES,1990,Platformer,Nintendo,SMW,Super Mario,super.mario.world|smw
Super Mario Bros,super mario bros,NES,NES,1985,Platformer,Nintendo,SMB,Super Mario,super.mario.bros|smb
Super Mario Bros 3,super mario bros 3,NES,NES,1988,Platformer,Nintendo,SMB3,Super Mario,super.mario.bros.3|smb3
The Legend of Zelda Breath of the Wild,legend of zelda breath of the wild,Switch,Switch,2017,Action-Adventure,Nintendo EPD,BOTW,The Legend of Zelda,botw|breath.of.the.wild|zelda.botw
The Legend of Zelda Tears of the Kingdom,legend of zelda tears of the kingdom,Switch,Switch,2023,Action-Adventure,Nintendo EPD,TOTK,The Legend of Zelda,totk|tears.of.the.kingdom|zelda.totk
The Legend of Zelda Ocarina of Time,legend of zelda ocarina of time,N64,N64,1998,Action-Adventure,Nintendo EAD,OOT,The Legend of Zelda,oot|ocarina.of.time|zelda.oot
The Legend of Zelda Majora's Mask,legend of zelda majoras mask,N64,N64,2000,Action-Adventure,Nintendo EAD,MM,The Legend of Zelda,mm|majoras.mask|zelda.mm
The Legend of Zelda A Link to the Past,legend of zelda link to the past,SNES,SNES,1991,Action-Adventure,Nintendo,ALttP,The Legend of Zelda,alttp|link.to.the.past|zelda.alttp
Zelda The Wind Waker,legend of zelda wind waker,GC,GC,2002,Action-Adventure,Nintendo EAD,WW,The Legend of Zelda,wind.waker|zelda.ww
Zelda Twilight Princess,legend of zelda twilight princess,Wii,Wii,2006,Action-Adventure,Nintendo EAD,TP,The Legend of Zelda,twilight.princess|zelda.tp
Pokemon Scarlet,pokemon scarlet,Switch,Switch,2022,RPG,Game Freak,,Pokemon,pokemon.scarlet
