title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Donkey Kong Country Tropical Freeze,donkey kong country tropical freeze,Wii U,WiiU,2014,Platformer,Retro Studios,DKCTF,Donkey Kong,donkey.kong.country.tropical.freeze|dkctf
Paper Mario,paper mario,N64,N64,2000,RPG,Intelligent Systems,Paper Mario 64,Paper Mario,paper.mario|paper.mario.64
Paper Mario The Thousand-Year Door,paper mario ttyd,GC,GC,2004,RPG,Intelligent Systems,TTYD,Paper Mario,paper.mario.ttyd|ttyd|paper.mario.the.thousand.year.door
Super Paper Mario,super paper mario,Wii,Wii,2007,Platformer,Intelligent Systems,,Paper Mario,super.paper.mario
Paper Mario Sticker Star,paper mario sticker star,3DS,3DS,2012,RPG,Intelligent Systems,,Paper Mario,paper.mario.sticker.star
Paper Mario Color Splash,paper mario color splash,Wii U,WiiU,2016,RPG,Intelligent Systems,,Paper Mario,paper.mario.color.splash
Paper Mario The Origami King,paper mario origami king,Switch,Switch,2020,RPG,Intelligent Systems,Origami King,Paper Mario,paper.mario.the.origami.king|origami.king
Mario Party Superstars,mario party superstars,Switch,Switch,2021,Party,NDcube,Mario Party,Mario Party,mario.party.superstars
Mario Party,mario party,N64,N64,1998,Party,Hudson,Mario Party 1,Mario Party,mario.party|mario.party.1
Mario Party 2,mario party 2,N64,N64,2000,Party,Hudson,,Mario Party,mario.party.2
Mario Party 3,mario party 3,N64,N64,2001,Party,Hudson,,Mario Party,mario.party.3
Mario Party 4,mario party 4,GC,GC,2002,Party,Hudson,,Mario Party,mario.party.4
Mario Party 5,mario party 5,GC,GC,2003,Party,Hudson,,Mario Party,mario.party.5
Mario Party 6,mario party 6,GC,GC,2004,Party,Hudson,,Mario Party,mario.party.6
Mario Party 7,mario party 7,GC,GC,2005,Party,Hudson,,Mario Party,mario.party.7
Mario Party 8,mario party 8,Wii,Wii,2007,Party,Hudson,,Mario Party,mario.party.8
Mario Party 9,mario party 9,Wii,Wii,2012,Party,NDcube,,Mario Party,mario.party.9
Mario Party 10,mario party 10,Wii U,WiiU,2015,Party,NDcube,,Mario Party,mario.party.10
Luigi's Mansion,luigis mansion,GC,GC,2001,Adventure,Nintendo,,Luigi's Mansion,luigis.mansion|luigis.mansion.1
Luigi's Mansion Dark Moon,luigis mansion dark moon,3DS,3DS,2013,Adventure,Next Level Games,Luigi's Mansion 2,Luigi's Mansion,luigis.mansion.dark.moon|luigis.mansion.2
Luigi's Mansion 3,luigis mansion 3,Switch,Switch,2019,Adventure,Next Level Games,,Luigi's Mansion,luigis.mansion.3
Fire Emblem Engage,fire emblem engage,Switch,Switch,2023,Strategy,Intelligent Systems,,Fire Emblem,fire.emblem.engage
Fire Emblem Three Houses,fire emblem three houses,Switch,Switch,2019,Strategy,Intelligent Systems,FE3H,Fire Emblem,fire.emblem.three.houses|fe3h
Fire Emblem Awakening,fire emblem awakening,3DS,3DS,2012,Strategy,Intelligent Systems,FEA,Fire Emblem,fire.emblem.awakening|fea
Fire Emblem Fates,fire emblem fates,3DS,3DS,2015,Strategy,Intelligent Systems,FE Fates,Fire Emblem,fire.emblem.fates
Fire Emblem Path of Radiance,fire emblem path of radiance,GC,GC,2005,Strategy,Intelligent Systems,FE9,Fire Emblem,fire.emblem.path.of.radiance|fe9
Fire Emblem Radiant Dawn,fire emblem radiant dawn,Wii,Wii,2007,Strategy,Intelligent Systems,FE10,Fire Emblem,fire.emblem.radiant.dawn|fe10
Fire Emblem The Sacred Stones,fire emblem sacred stones,GBA,GBA,2004,Strategy,Intelligent Systems,FE8,Fire Emblem,fire.emblem.sacred.stones|fe8
Fire Emblem Blazing Blade,fire emblem blazing blade,GBA,GBA,2003,Strategy,Intelligent Systems,FE7,Fire Emblem,fire.emblem.blazing.blade|fe7
Xenoblade Chronicles 3,xenoblade chronicles 3,Switch,Switch,2022,RPG,Monolith Soft,XC3,Xenoblade,xenoblade.chronicles.3|xc3
Xenoblade Chronicles 2,xenoblade chronicles 2,Switch,Switch,2017,RPG,Monolith Soft,XC2,Xenoblade,xenoblade.chronicles.2|xc2
Xenoblade Chronicles,xenoblade chronicles,Wii,Wii,2010,RPG,Monolith Soft,XC1,Xenoblade,xenoblade.chronicles|xc|xenoblade.1
